Title,AlbumName,Record Label,Performer,Track.number,Song.duration,Composer,Year,Genre,Styles,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,shake.the.audience,romantic,obscene,family.spiritual,sadness
Glad All Over  ,Glad All Over,BMG,The Dave Clark Five,1,2:43,Dave Clark / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.152,0.462,0.803,0,0.0788,-8.357,0.0585,137.789,0.896,163327,46,0.001422475,0.001422475,0.001422475,0.001422475,0.036145049
All of the Time  ,Glad All Over,BMG,The Dave Clark Five,2,2:15,Dave Clark / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.057,0.726,0.667,0,0.332,-9.178,0.0666,131.663,0.904,135427,11,0.000730994,0.000730994,0.04775665,0.000730994,0.000730994
Crying Over You  ,Glad All Over,BMG,The Dave Clark Five,3,2:09,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.771,0.501,0.36,0,0.0741,-11.314,0.0271,102.481,0.412,129320,4,0.001814882,0.001814882,0.001814882,0.001814882,0.317712887
Stay  ,Glad All Over,BMG,The Dave Clark Five,4,2:09,Sobian Fahey / Maurice Williams,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.134,0.589,0.926,0,0.448,-9.197,0.0562,135.421,0.932,129661,13,0.000604961,0.059734127,0.366353253,0.000604961,0.036609065
Chaquita  ,Glad All Over,BMG,The Dave Clark Five,5,2:13,Dave Clark / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.101,0.522,0.891,0.53,0.434,-10.766,0.146,85.429,0.449,133453,9,0.015941219,0.000773994,0.360738057,0.000773994,0.000773994
Do You Love Me ,Glad All Over,BMG,The Dave Clark Five,6,2:43,"Berry Gordy, Jr.",1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.00139,0.432,0.913,0,0.0564,-7.793,0.0531,140.912,0.917,163653,32,0.000773994,0.014132066,0.572230669,0.021915879,0.000773994
Bits and Pieces  ,Glad All Over,BMG,The Dave Clark Five,7,1:58,Dave Clark / Ron Ryan / Michael Smith / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0225,0.485,0.835,0.000114,0.0766,-8.871,0.101,143.853,0.974,118907,39,0.000506073,0.023229832,0.490242609,0.000506073,0.000506073
I Know You  ,Glad All Over,BMG,The Dave Clark Five,8,2:00,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.00825,0.581,0.872,2.53E-05,0.492,-9.347,0.0843,135.594,0.678,120187,14,0.00044603,0.030068351,0.389491853,0.00044603,0.012249103
Time  ,Glad All Over,BMG,The Dave Clark Five,10,2:19,Lars Anderson / Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.074,0.788,0.431,1.80E-05,0.0695,-9.968,0.0581,126.172,0.56,139093,7,0.042140557,0.00074129,0.459380531,0.00074129,0.039326754
Who Do You Think You're Talking To  ,Glad All Over,BMG,The Dave Clark Five,11,2:10,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.000246,0.518,0.721,0,0.271,-9.31,0.1,130.457,0.808,130907,7,0.000711238,0.000711238,0.321958168,0.045396098,0.000711238
Because  ,American Tour,BMG,The Dave Clark Five,1,2:22,Dave Clark / Dee Clark / Ron Ryan,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.441,0.712,0.508,1.13E-05,0.286,-9.562,0.0343,123.002,0.796,142425,50,0.000598086,0.000598086,0.389648661,0.087770435,0.000598086
Move On  ,American Tour,BMG,The Dave Clark Five,2,2:14,Laura Christoforiadis / Dave Clark / Aderemi M. Kolawole / Denis Payton / Justin Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0145,0.537,0.561,0.219,0.103,-9.299,0.0853,134.465,0.788,134000,9,0.000572082,0.019524766,0.606966779,0.026356912,0.067653734
Whenever You're Around  ,American Tour,BMG,The Dave Clark Five,3,2:54,Dave Clark / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.631,0.565,0.493,1.27E-05,0.151,-11.992,0.0348,94.357,0.517,174213,26,0.000711238,0.544479545,0.000711238,0.000711238,0.065978858
I Want You Still  ,American Tour,BMG,The Dave Clark Five,4,1:37,Dave Clark / Denis Payton,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0229,0.575,0.846,0,0.149,-9.279,0.0541,138.537,0.928,97160,15,0.00228833,0.00228833,0.00228833,0.00228833,0.177457484
Long Ago  ,American Tour,BMG,The Dave Clark Five,5,2:12,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.771,0.309,0.299,0,0.135,-11.718,0.0631,182.697,0.394,132600,16,0.017967725,0.000892061,0.000892061,0.000892061,0.000892061
Blue Monday  ,American Tour,BMG,The Dave Clark Five,6,2:56,Dave Clark / Mike Smith,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.424,0.31,0.52,0,0.242,-12.294,0.0924,160.349,0.642,136827,2,0.000797448,0.000797448,0.000797448,0.074552289,0.09245588
Sometimes  ,American Tour,BMG,The Dave Clark Five,7,2:51,Dave Clark / Ron Ryan,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0996,0.66,0.652,0.000427,0.232,-8.887,0.0386,124.087,0.558,171893,10,0.000956938,0.000956938,0.000956938,0.213772185,0.112311559
Any Time You Want Love  ,American Tour,BMG,The Dave Clark Five,8,2:12,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.462,0.461,0.497,0,0.427,-8.803,0.0349,99.404,0.643,132920,12,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988
I Cried Over You  ,American Tour,BMG,The Dave Clark Five,9,2:29,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.162,0.751,0.56,0,0.127,-8.365,0.0443,104.665,0.593,149187,10,0.000862813,0.000862813,0.000862813,0.099047214,0.000862813
Ol' Sol  ,American Tour,BMG,The Dave Clark Five,10,2:00,Dave Clark / Denis Payton,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0365,0.505,0.721,0.872,0.118,-8.87,0.0523,143.059,0.708,120547,6,0.001315789,0.067288223,0.00131579,0.001315789,0.366920748
At the Scene  ,American Tour,BMG,The Dave Clark Five,11,1:51,Dave Clark / Lenny Davidson,1964,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0102,0.607,0.67,0,0.076,-8.887,0.0448,127.101,0.907,111733,17,0.118918263,0.000907441,0.000907441,0.000907441,0.000907441
Any Way You Want It ,Coast to Coast,BMG,The Dave Clark Five,1,2:29,Dave Clark,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0107,0.282,0.937,0,0.293,-8.175,0.09,145.872,0.194,149733,27,0.001879699,0.001879699,0.071681841,0.001879699,0.001879699
I Can't Stop Loving You  ,Coast to Coast,BMG,The Dave Clark Five,2,1:59,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0283,0.508,0.926,1.27E-06,0.162,-7.838,0.061,148.684,0.658,119260,5,0.001594896,0.001594896,0.001594896,0.054559443,0.04322044
I Can't Stand It  ,Coast to Coast,BMG,The Dave Clark Five,3,1:22,Dave Clark / Lenny Davidson,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0889,0.539,0.88,0,0.347,-8.497,0.0417,146.532,0.965,82811,2,0.002770083,0.120459244,0.002770083,0.002770083,0.002770083
What Is There to Say  ,Coast to Coast,BMG,The Dave Clark Five,4,1:49,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.537,0.505,0.525,0,0.148,-9.311,0.0428,124.969,0.556,109624,14,0.002392344,0.002392345,0.002392345,0.057146012,0.002392345
Everybody Knows (I Still Love You)  ,Coast to Coast,BMG,The Dave Clark Five,5,1:41,Dave Clark / Lenny Davidson,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.101,0.446,0.503,0,0.268,-10.025,0.0382,125.064,0.781,101160,17,0.000591366,0.000591366,0.000591366,0.165858087,0.038500111
Say You Want Me  ,Coast to Coast,BMG,The Dave Clark Five,7,1:45,Dave Clark / Lenny Davidson,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.00322,0.483,0.871,0,0.0842,-8.779,0.0538,144.916,0.906,105409,3,0.003508772,0.132074539,0.003508772,0.003508772,0.073726241
When  ,Coast to Coast,BMG,The Dave Clark Five,8,2:29,Dave Clark / Lenny Davidson,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.61,0.552,0.589,2.28E-05,0.411,-8.353,0.0247,105.958,0.728,149733,3,0.001012146,0.001012146,0.001012146,0.032529205,0.001012146
Forget  ,Coast to Coast,BMG,The Dave Clark Five,9,1:50,Dave Clark / Lianne La Havas / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.00403,0.399,0.709,0,0.0373,-7.925,0.0426,144.242,0.695,110293,3,0.03677784,0.143786423,0.000619195,0.000619195,0.326541818
To Me  ,Coast to Coast,BMG,The Dave Clark Five,10,1:44,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.618,0.641,0.513,3.02E-05,0.21,-9.658,0.036,119.874,0.79,104853,16,0.141340141,0.043826159,0.001012146,0.001012146,0.480255456
Good Time Woman  ,Coast to Coast,BMG,The Dave Clark Five,11,1:57,Dave Clark / Lenny Davidson / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",4.51E-05,0.47,0.724,0,0.207,-8.943,0.0453,115.11,0.536,117240,2,0.049154127,0.356038055,0.325161078,0.032688196,0.001119821
Come Home  ,Weekend in London,BMG,The Dave Clark Five,1,2:48,Dave Clark / Mike Smith,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.376,0.417,0.361,0,0.114,-9.994,0.0626,201.364,0.47,168493,16,0.137083759,0.02655702,0.001349528,0.001349528,0.001349528
We'll Be Running  ,Weekend in London,BMG,The Dave Clark Five,2,1:32,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.442,0.423,0.947,6.26E-06,0.274,-7.827,0.107,154.865,0.787,92920,2,0.066461805,0.262225203,0.001096491,0.001096491,0.480211714
Blue Suede Shoes ,Weekend in London,BMG,The Dave Clark Five,3,1:46,Carl Perkins,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.029,0.453,0.728,0,0.22,-9.26,0.0563,99.701,0.714,106133,2,0.043719673,0.131852723,0.001096491,0.001096491,0.30131664
Hurting Inside  ,Weekend in London,BMG,The Dave Clark Five,4,2:37,Dave Clark / Mike Smith,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.145,0.697,0.354,0,0.0917,-11.181,0.0329,128.805,0.491,157973,14,0.001169591,0.099165997,0.001169591,0.001169591,0.208206783
I'll Never Know  ,Weekend in London,BMG,The Dave Clark Five,5,1:46,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.159,0.596,0.611,2.37E-06,0.284,-10.082,0.0354,130.626,0.718,106307,4,0.000809717,0.065632828,0.000809717,0.018142621,0.384255123
'Til the Right One Comes Along  ,Weekend in London,BMG,The Dave Clark Five,6,1:55,Dave Clark / Mike Smith,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.859,0.679,0.327,0,0.141,-10.057,0.071,124.007,0.653,115390,22,0.001283697,0.388986944,0.072185597,0.001283697,0.001283697
I'm Thinking  ,Weekend in London,BMG,The Dave Clark Five,7,1:31,Dave Clark / Denis Payton,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.0935,0.601,0.779,0,0.247,-8.699,0.0338,125.865,0.966,91960,3,0.024284955,0.149886006,0.001169591,0.001169591,0.001169591
Your Turn to Cry  ,Weekend in London,BMG,The Dave Clark Five,8,3:13,Dave Clark / Mike Smith,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.215,0.553,0.72,0,0.143,-8.277,0.0345,121.706,0.381,193533,4,0.00122399,0.268288412,0.00122399,0.00122399,0.179215802
Little Bitty Pretty One ,Weekend in London,BMG,The Dave Clark Five,9,1:30,Robert Byrd,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.773,0.405,0.648,6.25E-06,0.432,-6.198,0.0813,87.956,0.722,143173,2,0.094612763,0.321814015,0.045790898,0.00093985,0.00093985
Remember It's Me  ,Weekend in London,BMG,The Dave Clark Five,10,2:20,Dave Clark / Mike Smith,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.416,0.3,0.371,0.000444,0.109,-11.381,0.0368,197.493,0.28,140907,2,0.033470062,0.000797448,0.000797448,0.044737113,0.381970728
Mighty Good Loving  ,Weekend in London,BMG,The Dave Clark Five,11,2:40,Dave Clark / Lenny Davidson,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.121,0.382,0.646,0,0.152,-8.624,0.0365,129.824,0.691,160000,3,0.001754386,0.001754386,0.001754386,0.001754386,0.541770572
Reelin' and Rockin' ,Weekend in London,BMG,The Dave Clark Five,12,2:47,Chuck Berry,1965,Pop/Rock,"British Invasion, Early Pop/Rock, Rock & Roll",0.41,0.393,0.904,0.000548,0.0893,-6.481,0.183,177.861,0.924,146813,10,0.001052632,0.030307639,0.367382834,0.001052632,0.022492209
I Like It Like That  ,I Like It Like That,BMG,The Dave Clark Five,1,1:38,The Dave Clark Five / Chris Kenner / Allen Toussaint,1966,Pop/Rock,"British Invasion, Rock & Roll",0.2,0.495,0.85,0,0.227,-6.884,0.121,140.059,0.9,97947,27,0.001012146,0.001012146,0.105432548,0.001012146,0.001012146
Pumping  ,I Like It Like That,BMG,The Dave Clark Five,2,1:46,DJ Roland Clark / Dave Mayer / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0568,0.534,0.712,0.117,0.349,-9.215,0.0307,163.81,0.95,106707,2,0.000822368,0.000822368,0.199993885,0.039757615,0.000822368
I'll Be Yours My Love  ,I Like It Like That,BMG,The Dave Clark Five,7,2:42,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.318,0.386,0.524,1.03E-06,0.286,-7.691,0.0255,96.601,0.72,162280,30,0.002392345,0.37535416,0.002392345,0.002392345,0.188165794
Try Too Hard  ,Try Too Hard,BMG,The Dave Clark Five,1,2:08,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0524,0.302,0.843,2.62E-05,0.0627,-8.236,0.0541,179.54,0.502,128573,21,0.001315789,0.155138195,0.00131579,0.001315789,0.122271069
Fallout Shelter  ,Try Too Hard,BMG,The Dave Clark Five,2,2:21,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.000884,0.393,0.838,0.000923,0.0816,-7.987,0.0912,114.734,0.756,141707,2,0.013567543,0.072437806,0.000674764,0.015838381,0.000674764
I Never Will  ,Try Too Hard,BMG,The Dave Clark Five,3,1:53,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0224,0.535,0.643,0,0.302,-8.799,0.0318,124.676,0.775,113687,2,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699
Looking In  ,Try Too Hard,BMG,The Dave Clark Five,4,2:04,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.293,0.508,0.574,1.30E-05,0.155,-9.314,0.0342,125.381,0.406,124787,3,0.001119821,0.001119821,0.001119821,0.024709626,0.779801856
Ever Since You've Been Away  ,Try Too Hard,BMG,The Dave Clark Five,5,1:33,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.169,0.396,0.767,0,0.475,-9.828,0.0757,125.585,0.823,93760,2,0.001385042,0.44516989,0.001385042,0.001385042,0.107916482
Somebody Find a New Love  ,Try Too Hard,BMG,The Dave Clark Five,6,2:01,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0277,0.284,0.789,3.83E-06,0.212,-8.682,0.0714,138.494,0.694,121387,2,0.00074129,0.00074129,0.00074129,0.081301889,0.068947228
I Really Love You  ,Try Too Hard,BMG,The Dave Clark Five,7,1:53,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.196,0.416,0.796,0,0.474,-8.892,0.0679,149.65,0.81,113147,1,0.002024292,0.002024292,0.002024292,0.002024292,0.440511769
It Don't Feel Good  ,Try Too Hard,BMG,The Dave Clark Five,8,1:41,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0157,0.407,0.86,1.12E-06,0.372,-9.599,0.0728,143.108,0.657,101560,1,0.018484283,0.000923361,0.000923361,0.000923361,0.036419655
Scared of Falling in Love  ,Try Too Hard,BMG,The Dave Clark Five,9,1:57,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0184,0.125,0.417,0,0.0946,-9.262,0.032,174.727,0.225,117827,1,0.001814882,0.337417505,0.001814882,0.001814882,0.001814882
I Know  ,Try Too Hard,BMG,The Dave Clark Five,10,2:37,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0218,0.456,0.881,5.67E-06,0.315,-8.852,0.0562,112.913,0.488,157707,2,0.001144165,0.023507472,0.001144165,0.001144165,0.610514941
Satisfied With You  ,Satisfied with You,BMG,The Dave Clark Five,1,1:58,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.553,0.43,0.495,0,0.174,-9.505,0.0282,109.384,0.659,118067,2,0.001547988,0.001547988,0.001547988,0.001547988,0.109140092
Go On  ,Satisfied with You,BMG,The Dave Clark Five,2,2:27,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0377,0.308,0.343,0,0.111,-10.824,0.0298,100.648,0.186,147467,1,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528
Do You Still Love Me?  ,Satisfied with You,BMG,The Dave Clark Five,3,2:03,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0105,0.509,0.733,0.000111,0.158,-8.712,0.0371,138.888,0.885,123133,2,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133
I Meant You  ,Satisfied with You,BMG,The Dave Clark Five,4,1:59,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.00636,0.444,0.609,0,0.15,-8.23,0.0302,140.653,0.791,119840,2,0.001594897,0.001594897,0.001594896,0.075972118,0.001594896
Look Before You Leap  ,Satisfied with You,BMG,The Dave Clark Five,5,2:18,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.00422,0.478,0.747,0,0.149,-9.571,0.0363,135.25,0.686,138893,5,0.002392345,0.071604576,0.002392345,0.180122196,0.362340776
Please Tell Me Why  ,Satisfied with You,BMG,The Dave Clark Five,6,1:32,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0153,0.278,0.561,0,0.105,-9.077,0.036,207.729,0.924,92573,2,0.001253133,0.001253133,0.001253133,0.001253133,0.189706037
You Never Listen  ,Satisfied with You,BMG,The Dave Clark Five,7,2:15,Dave Clark / Denis Payton,1966,Pop/Rock,"British Invasion, Rock & Roll",0.0263,0.538,0.786,0,0.252,-9.886,0.0485,137.38,0.896,135307,1,0.000892061,0.000892061,0.000892061,0.060349846,0.000892061
I Still Need You  ,Satisfied with You,BMG,The Dave Clark Five,8,2:20,Dave Clark / Lenny Davidson,1966,Pop/Rock,"British Invasion, Rock & Roll",0.502,0.347,0.36,8.00E-04,0.327,-10.727,0.0298,102.856,0.309,140053,1,0.00228833,0.00228833,0.00228833,0.00228833,0.13748399
It'll Only Hurt for a Little While  ,Satisfied with You,BMG,The Dave Clark Five,9,1:44,Dave Clark / Mike Smith,1966,Pop/Rock,"British Invasion, Rock & Roll",0.00983,0.491,0.854,0.00857,0.384,-9.613,0.176,108.578,0.441,104987,1,0.001283697,0.382561639,0.001283697,0.001283697,0.001283697
Good Lovin'  ,Satisfied with You,BMG,The Dave Clark Five,10,2:30,Rudy Clark / Arthur Resnick,1966,Pop/Rock,"British Invasion, Rock & Roll",4.29E-05,0.256,0.843,0.000293,0.0872,-8.373,0.037,173.972,0.642,150133,1,0.001814882,0.001814882,0.001814882,0.001814882,0.423722222
Nineteen Days  ,5 X 5 [US],BMG,The Dave Clark Five,1,1:50,Dave Clark / Denis Payton,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.0185,0.441,0.654,0,0.282,-8.383,0.0338,122.921,0.601,110435,8,0.001315789,0.00131579,0.00131579,0.135773297,0.00131579
Something I've Always Wanted  ,5 X 5 [US],BMG,The Dave Clark Five,2,2:03,Dave Clark / Denis Payton,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.0025,0.42,0.57,0,0.139,-9.38,0.033,114.047,0.763,123730,2,0.001644737,0.203027454,0.001644737,0.001644737,0.001644737
Little Bit Strong  ,5 X 5 [US],BMG,The Dave Clark Five,3,1:23,Dave Clark / Lenny Davidson,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.0451,0.512,0.691,5.73E-06,0.252,-9.272,0.122,113.604,0.889,83720,1,0.001052632,0.001052632,0.58559504,0.001052632,0.050762501
Bernadette  ,5 X 5 [US],BMG,The Dave Clark Five,4,2:16,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.0285,0.554,0.417,0,0.122,-10.785,0.0263,102.42,0.217,136703,19,0.001315789,0.243626998,0.00131579,0.001315789,0.085558707
Sitting Here Baby  ,5 X 5 [US],BMG,The Dave Clark Five,5,3:00,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.183,0.622,0.43,1.36E-06,0.0528,-10.728,0.0357,123.174,0.62,180519,2,0.000730994,0.000730994,0.372095043,0.000730994,0.000730994
You Don't Want My Loving  ,5 X 5 [US],BMG,The Dave Clark Five,6,2:48,Dave Clark / Denis Payton,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.00434,0.243,0.511,0,0.0658,-9.272,0.0362,73.637,0.419,168413,3,0.001052632,0.508985401,0.001052632,0.001052632,0.001052632
How Can I Tell You  ,5 X 5 [US],BMG,The Dave Clark Five,7,2:11,Dave Clark / Lenny Davidson,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.000372,0.344,0.522,0,0.154,-9.976,0.0348,117.317,0.491,131813,1,0.000956938,0.064762625,0.411342982,0.000956938,0.124937494
Picture of You  ,5 X 5 [US],BMG,The Dave Clark Five,8,1:52,Dave Clark / Denis Payton,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.324,0.546,0.404,0,0.48,-11.017,0.0311,107.056,0.645,112993,1,0.001814882,0.265654051,0.001814882,0.001814882,0.122390785
Small Talk  ,5 X 5 [US],BMG,The Dave Clark Five,9,2:21,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.268,0.672,0.637,0.357,0.129,-12.629,0.0608,134.194,0.932,141953,2,0.002024291,0.002024292,0.002024292,0.002024292,0.543472113
Pick Up Your Phone  ,5 X 5 [US],BMG,The Dave Clark Five,10,2:05,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll, AM Pop",0.00475,0.623,0.647,5.20E-06,0.0485,-8.727,0.0348,129.83,0.898,125960,2,0.000877193,0.045458141,0.068558214,0.092191138,0.318530052
You Got What It Takes  ,You Got What It Takes,BMG,The Dave Clark Five,1,2:59,"Roquel Davis / Gwendolyn Gordy / Berry Gordy, Jr.",1967,Pop/Rock,"British Invasion, Rock & Roll",0.00696,0.543,0.619,0,0.202,-6.938,0.0363,126.297,0.743,179688,27,0.018668802,0.000773994,0.000773994,0.070144954,0.425531158
I've Got to Have a Reason  ,You Got What It Takes,BMG,The Dave Clark Five,2,1:53,Dave Clark / Lenny Davidson,1967,Pop/Rock,"British Invasion, Rock & Roll",0.00881,0.516,0.644,0,0.764,-9.285,0.0423,129.702,0.574,113075,3,0.000797448,0.000797448,0.37946879,0.000797448,0.000797448
You Don't Play Me Around  ,You Got What It Takes,BMG,The Dave Clark Five,3,2:21,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll",0.0164,0.393,0.526,0,0.191,-8.684,0.197,172.119,0.494,141067,2,0.000674764,0.000674764,0.04748959,0.000674764,0.359303721
Thinking of You Baby  ,You Got What It Takes,BMG,The Dave Clark Five,4,2:32,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll",0.601,0.756,0.868,0,0.0942,-7.276,0.0967,118.321,0.706,152387,5,0.002105263,0.119370208,0.002105263,0.002105263,0.002105263
Lovin' So Good  ,You Got What It Takes,BMG,The Dave Clark Five,5,1:45,Dave Clark / Lenny Davidson,1967,Pop/Rock,"British Invasion, Rock & Roll",0.000397,0.482,0.784,0.00035,0.1,-8.91,0.0305,136.828,0.701,105253,1,0.00228833,0.00228833,0.00228833,0.00228833,0.142886579
Doctor Rhythm  ,You Got What It Takes,BMG,The Dave Clark Five,6,2:46,Dave Clark / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll",0.000298,0.316,0.828,0.0019,0.289,-8.699,0.0628,192.021,0.798,166480,3,0.00093985,0.00093985,0.00093985,0.062521476,0.22351419
Play With Me  ,You Got What It Takes,BMG,The Dave Clark Five,7,1:40,Dave Clark / Lenny Davidson,1967,Pop/Rock,"British Invasion, Rock & Roll",0.00105,0.559,0.563,0,0.0984,-7.619,0.0301,108.817,0.791,100200,1,0.000892061,0.000892061,0.496012475,0.068158574,0.000892061
Let Me Be  ,You Got What It Takes,BMG,The Dave Clark Five,8,1:43,Dave Clark / Denis Payton / Mike Smith,1967,Pop/Rock,"British Invasion, Rock & Roll",0.000358,0.404,0.775,0,0.124,-8.395,0.0334,139.278,0.717,103840,2,0.001031992,0.001031992,0.001031992,0.001031992,0.485511963
Blueberry Hill  ,You Got What It Takes,BMG,The Dave Clark Five,9,2:16,Al Lewis / Vincent Rose / Larry Stock,1967,Pop/Rock,"British Invasion, Rock & Roll",0.0261,0.474,0.513,0.00181,0.049,-9.24,0.0315,109.946,0.447,136667,2,0.00122399,0.032874029,0.00122399,0.033148959,0.045565142
Tabatha Twitchit  ,You Got What It Takes,BMG,The Dave Clark Five,10,2:23,Barry Mason / Les Reed,1967,Pop/Rock,"British Invasion, Rock & Roll",0.00105,0.592,0.576,1.60E-06,0.266,-8.61,0.0307,126.497,0.881,143840,12,0.00122399,0.047329774,0.00122399,0.001223991,0.00122399
House of the Rising Sun ,The Animals [US],ABKCO Records,The Animals,1,4:31,Alan Price,1964,Pop/Rock,"Blues-Rock, British Invasion, Rock & Roll, British Blues",0.000334,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,0.299,269907,76,0.025380396,0.054302171,0.000649773,0.000649773,0.53103529
